"Module Name","Display Name","Description","Driver Type","Start Mode","State","Status","Accept Stop","Accept Pause","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Link Date","Path","Init(bytes)"
"1394ohci","1394 OHCI Compliant Host Controller","1394 OHCI Compliant Host Controller","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4.096","229.376","0","","C:\WINDOWS\system32\drivers\1394ohci.sys","4.096"
"3ware","3ware","3ware","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","81.920","0","19-5-2015 00:28:03","C:\WINDOWS\system32\drivers\3ware.sys","4.096"
"ACPI","Microsoft ACPI-stuurprogramma","Microsoft ACPI-stuurprogramma","Kernel ","Boot","Running","OK","TRUE","FALSE","184.320","466.944","0","","C:\WINDOWS\system32\drivers\ACPI.sys","24.576"
"AcpiAudioCompositorInbox","Stuurprogramma voor ACPI Audio Compositor","Stuurprogramma voor ACPI Audio Compositor","Kernel ","Manual","Stopped","OK","FALSE","FALSE","45.056","16.384","0","","C:\WINDOWS\system32\DriverStore\FileRepository\acpiaudiocompositor.inf_amd64_047f553a6f70b169\AcpiAudioCompositor.sys","4.096"
"AcpiDev","Stuurprogramma voor ACPI-apparaten","Stuurprogramma voor ACPI-apparaten","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12.288","12.288","0","","C:\WINDOWS\system32\drivers\AcpiDev.sys","4.096"
"acpiex","Microsoft ACPIEx Driver","Microsoft ACPIEx Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","49.152","73.728","0","","C:\WINDOWS\system32\Drivers\acpiex.sys","4.096"
"acpipagr","ACPI Processor Aggregator-stuurprogramma","ACPI Processor Aggregator-stuurprogramma","Kernel ","Manual","Running","OK","TRUE","FALSE","4.096","8.192","0","","C:\WINDOWS\system32\DriverStore\FileRepository\acpipagr.inf_amd64_d1093347a27ff89c\acpipagr.sys","4.096"
"AcpiPmi","Stuurprogramma voor ACPI-compatibele energiemeter","Stuurprogramma voor ACPI-compatibele energiemeter","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8.192","8.192","0","","C:\WINDOWS\system32\DriverStore\FileRepository\acpipmi.inf_amd64_3ced06eb61dcc792\acpipmi.sys","4.096"
"acpitime","Stuurprogramma voor ACPI Wake Alarm","Stuurprogramma voor ACPI Wake Alarm","Kernel ","Manual","Running","OK","TRUE","FALSE","8.192","12.288","0","","C:\WINDOWS\system32\drivers\acpitime.sys","4.096"
"Acx01000","Acx01000","Acx01000","Kernel ","Manual","Stopped","OK","FALSE","FALSE","507.904","139.264","0","","C:\WINDOWS\system32\drivers\Acx01000.sys","4.096"
"ADP80XX","ADP80XX","ADP80XX","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","1.101.824","0","9-4-2015 22:49:48","C:\WINDOWS\system32\drivers\ADP80XX.SYS","4.096"
"AFD","Ancillary Function Driver for Winsock","Ancillary Function Driver for Winsock","Kernel ","System","Running","OK","TRUE","FALSE","12.288","491.520","0","","C:\WINDOWS\system32\drivers\afd.sys","4.096"
"afunix","afunix","afunix","Kernel ","System","Running","OK","TRUE","FALSE","28.672","12.288","0","","C:\WINDOWS\system32\drivers\afunix.sys","4.096"
"ahcache","Application Compatibility Cache","Application Compatibility Cache","Kernel ","System","Running","OK","TRUE","FALSE","208.896","36.864","0","","C:\WINDOWS\system32\DRIVERS\ahcache.sys","4.096"
"amdgpio2","AMD GPIO-clientstuurprogramma","AMD GPIO-clientstuurprogramma","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4.096","12.288","0","7-2-2019 10:32:20","C:\WINDOWS\system32\drivers\amdgpio2.sys","4.096"
"amdi2c","AMD I2C-controllerservice","AMD I2C-controllerservice","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4.096","36.864","0","20-3-2019 05:57:33","C:\WINDOWS\system32\drivers\amdi2c.sys","4.096"
"AmdK8","AMD K8 Processor Driver","AMD K8 Processor Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","122.880","57.344","0","","C:\WINDOWS\system32\drivers\amdk8.sys","12.288"
"AmdPPM","Stuurprogramma voor AMD-processor","Stuurprogramma voor AMD-processor","Kernel ","Manual","Stopped","OK","FALSE","FALSE","131.072","61.440","0","","C:\WINDOWS\system32\drivers\amdppm.sys","12.288"
"amdsata","amdsata","amdsata","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","61.440","0","14-5-2015 14:14:52","C:\WINDOWS\system32\drivers\amdsata.sys","4.096"
"amdsbs","amdsbs","amdsbs","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","229.376","0","11-12-2012 22:21:44","C:\WINDOWS\system32\drivers\amdsbs.sys","4.096"
"amdwps","Stuurprogramma van profileringsplanning voor AMD-workloads","Stuurprogramma van profileringsplanning voor AMD-workloads","Kernel ","Boot","Running","OK","TRUE","FALSE","8.192","12.288","0","","C:\WINDOWS\system32\drivers\amdwps.sys","4.096"
"amdxata","amdxata","amdxata","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8.192","4.096","0","1-5-2015 02:55:35","C:\WINDOWS\system32\drivers\amdxata.sys","4.096"
"AppID","AppID Driver","AppID Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","102.400","32.768","0","","C:\WINDOWS\system32\drivers\appid.sys","8.192"
"AppleSSD","Apple Solid State Drive-apparaat","Apple Solid State Drive-apparaat","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","86.016","0","11-11-2019 22:24:17","C:\WINDOWS\system32\drivers\AppleSSD.sys","4.096"
"applockerfltr","Smartlocker Filter Driver","Smartlocker Filter Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8.192","12.288","0","","C:\WINDOWS\system32\drivers\applockerfltr.sys","4.096"
"AppvStrm","AppvStrm","AppvStrm","File System ","Manual","Stopped","OK","FALSE","FALSE","4.096","94.208","0","","C:\WINDOWS\system32\drivers\AppvStrm.sys","4.096"
"AppvVemgr","AppvVemgr","AppvVemgr","File System ","Manual","Stopped","OK","FALSE","FALSE","8.192","118.784","0","","C:\WINDOWS\system32\drivers\AppvVemgr.sys","4.096"
"AppvVfs","AppvVfs","AppvVfs","File System ","Manual","Stopped","OK","FALSE","FALSE","12.288","90.112","0","","C:\WINDOWS\system32\drivers\AppvVfs.sys","4.096"
"arcsas","Adaptec SAS/SATA-II RAID Storport's Miniport Driver","Adaptec SAS/SATA-II RAID Storport's Miniport Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","110.592","0","9-4-2015 21:12:07","C:\WINDOWS\system32\drivers\arcsas.sys","4.096"
"Asusgio3","Asusgio3","Asusgio3","Kernel ","System","Running","OK","TRUE","FALSE","8.192","28.672","0","8-4-2026 03:36:03","\??\C:\WINDOWS\system32\drivers\AsIO3.sys","4.096"
"AsyncMac","RAS Asynchronous Media Driver","RAS Asynchronous Media Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","24.576","0","","C:\WINDOWS\system32\drivers\asyncmac.sys","4.096"
"atapi","IDE-kanaal","IDE-kanaal","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","20.480","0","","C:\WINDOWS\system32\drivers\atapi.sys","4.096"
"b06bdrv","QLogic-netwerkadapter VBD","QLogic-netwerkadapter VBD","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","221.184","0","25-5-2016 09:03:08","C:\WINDOWS\system32\drivers\bxvbda.sys","4.096"
"bam","Background Activity Moderator Driver","Background Activity Moderator Driver","Kernel ","System","Running","OK","TRUE","FALSE","49.152","16.384","0","","C:\WINDOWS\system32\drivers\bam.sys","4.096"
"BasicDisplay","BasicDisplay","BasicDisplay","Kernel ","System","Running","OK","TRUE","FALSE","45.056","16.384","0","","C:\WINDOWS\system32\DriverStore\FileRepository\basicdisplay.inf_amd64_9f34636ebdd89def\BasicDisplay.sys","4.096"
"BasicRender","BasicRender","BasicRender","Kernel ","System","Running","OK","TRUE","FALSE","4.096","32.768","0","","C:\WINDOWS\system32\DriverStore\FileRepository\basicrender.inf_amd64_398debb686d62c0f\BasicRender.sys","4.096"
"bcmfn2","bcmfn2 Service","bcmfn2 Service","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4.096","4.096","0","1-11-2016 03:09:15","C:\WINDOWS\system32\drivers\bcmfn2.sys","4.096"
"Beep","Beep","Beep","Kernel ","System","Running","OK","TRUE","FALSE","0","4.096","0","","C:\WINDOWS\system32\drivers\Beep.sys","4.096"
"bfs","Brokering-bestandssysteem","Brokering-bestandssysteem","File System ","Auto","Running","OK","TRUE","FALSE","4.096","94.208","0","","C:\WINDOWS\system32\drivers\bfs.sys","4.096"
"bindflt","Windows Bind Filter Driver","Windows Bind Filter Driver","File System ","Auto","Running","OK","TRUE","FALSE","98.304","32.768","0","","C:\WINDOWS\system32\drivers\bindflt.sys","4.096"
"bowser","Browser","Browser","File System ","Manual","Running","OK","TRUE","FALSE","77.824","32.768","0","","C:\WINDOWS\system32\DRIVERS\bowser.sys","4.096"
"BthA2dp","Microsoft Bluetooth A2dp driver","Microsoft Bluetooth A2dp driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","81.920","356.352","0","","C:\WINDOWS\system32\drivers\BthA2dp.sys","4.096"
"BthEnum","Bluetooth Enumerator-service","Bluetooth Enumerator-service","Kernel ","Manual","Stopped","OK","FALSE","FALSE","32.768","36.864","0","","C:\WINDOWS\system32\drivers\BthEnum.sys","4.096"
"BthHFEnum","Stuurprogramma voor Microsoft Bluetooth handsfree profiel","Stuurprogramma voor Microsoft Bluetooth handsfree profiel","Kernel ","Manual","Stopped","OK","FALSE","FALSE","32.768","106.496","0","","C:\WINDOWS\system32\drivers\bthhfenum.sys","4.096"
"BthLEEnum","Bluetooth Low Energy-stuurprogramma","Bluetooth Low Energy-stuurprogramma","Kernel ","Manual","Stopped","OK","FALSE","FALSE","65.536","36.864","0","","C:\WINDOWS\system32\drivers\Microsoft.Bluetooth.Legacy.LEEnumerator.sys","4.096"
"BthMini","Bluetooth-radiostuurprogramma","Bluetooth-radiostuurprogramma","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12.288","24.576","0","","C:\WINDOWS\system32\drivers\BTHMINI.sys","4.096"
"BTHMODEM","Stuurprogramma voor modemcommunicatie via Bluetooth","Stuurprogramma voor modemcommunicatie via Bluetooth","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12.288","57.344","0","","C:\WINDOWS\system32\drivers\bthmodem.sys","4.096"
"BTHPORT","Stuurprogramma voor Bluetooth-poort","Stuurprogramma voor Bluetooth-poort","Kernel ","Manual","Stopped","OK","FALSE","FALSE","393.216","1.486.848","0","","C:\WINDOWS\system32\drivers\BTHport.sys","8.192"
"BTHUSB","USB-stuurprogramma voor Bluetooth-radio","USB-stuurprogramma voor Bluetooth-radio","Kernel ","Manual","Stopped","OK","FALSE","FALSE","24.576","61.440","0","","C:\WINDOWS\system32\drivers\BTHUSB.sys","4.096"
"bttflt","VHDPMEM BTT-filter voor Microsoft Hyper-V","VHDPMEM BTT-filter voor Microsoft Hyper-V","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8.192","20.480","0","","C:\WINDOWS\system32\drivers\bttflt.sys","4.096"
"buttonconverter","Service voor Portable Device Control-apparaten","Service voor Portable Device Control-apparaten","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12.288","36.864","0","","C:\WINDOWS\system32\drivers\buttonconverter.sys","4.096"
"CAD","Charge Arbitration Driver","Charge Arbitration Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","32.768","12.288","0","","C:\WINDOWS\system32\drivers\CAD.sys","4.096"
"CDD","Canonical-beeldschermstuurprogramma","Canonical-beeldschermstuurprogramma","Kernel ","Manual","Running","OK","TRUE","FALSE","12.288","241.664","0","","C:\WINDOWS\system32\cdd.dll","4.096"
"cdfs","CD/DVD File System Reader","CD/DVD File System Reader","File System ","Disabled","Stopped","OK","FALSE","FALSE","69.632","16.384","0","","C:\WINDOWS\system32\DRIVERS\cdfs.sys","4.096"
"cdrom","Cd-rom-stuurprogramma","Cd-rom-stuurprogramma","Kernel ","System","Running","OK","TRUE","FALSE","81.920","77.824","0","","C:\WINDOWS\system32\drivers\cdrom.sys","4.096"
"cht4iscsi","cht4iscsi","cht4iscsi","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4.096","278.528","0","5-2-2019 14:51:31","C:\WINDOWS\system32\drivers\cht4sx64.sys","4.096"
"cht4vbd","Chelsio virtuele-busstuurprogramma","Chelsio virtuele-busstuurprogramma","Kernel ","Manual","Stopped","OK","FALSE","FALSE","1.433.600","208.896","0","5-2-2019 14:47:51","C:\WINDOWS\system32\drivers\cht4vx64.sys","4.096"
"CimFS","CimFS","CimFS","File System ","System","Running","OK","TRUE","FALSE","12.288","180.224","0","","C:\WINDOWS\system32\drivers\CimFS.sys","4.096"
"circlass","Consumer IR Devices","Consumer IR Devices","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4.096","45.056","0","","C:\WINDOWS\system32\drivers\circlass.sys","4.096"
"CldFlt","Windows Cloud Files Filter Driver","Windows Cloud Files Filter Driver","File System ","Auto","Running","OK","TRUE","FALSE","352.256","126.976","0","","C:\WINDOWS\system32\drivers\cldflt.sys","8.192"
"CLFS","Common Log (CLFS)","Common Log (CLFS)","Kernel ","Boot","Running","OK","TRUE","FALSE","327.680","110.592","0","","C:\WINDOWS\system32\drivers\CLFS.sys","4.096"
"CmBatt","Stuurprogramma voor Microsoft ACPI-besturingsmethodebatterij","Stuurprogramma voor Microsoft ACPI-besturingsmethodebatterij","Kernel ","Manual","Stopped","OK","FALSE","FALSE","36.864","16.384","0","","C:\WINDOWS\system32\drivers\CmBatt.sys","4.096"
"CNG","CNG","CNG","Kernel ","Boot","Running","OK","TRUE","FALSE","0","704.512","0","","C:\WINDOWS\system32\Drivers\cng.sys","4.096"
"cnghwassist","CNG Hardware Assist algorithm provider","CNG Hardware Assist algorithm provider","Kernel ","Disabled","Stopped","OK","FALSE","FALSE","8.192","20.480","0","","C:\WINDOWS\system32\DRIVERS\cnghwassist.sys","4.096"
"CompositeBus","Stuurprogramma voor Composite Bus Enumerator","Stuurprogramma voor Composite Bus Enumerator","Kernel ","Manual","Running","OK","TRUE","FALSE","24.576","16.384","0","","C:\WINDOWS\system32\DriverStore\FileRepository\compositebus.inf_amd64_8cf6fa9d3afdfa25\CompositeBus.sys","4.096"
"condrv","Console Driver","Console Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","32.768","8.192","0","","C:\WINDOWS\system32\drivers\condrv.sys","4.096"
"cpuz161","cpuz161","cpuz161","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","28.672","0","1-10-2025 09:20:13","\??\C:\ProgramData\CPUID Software\sdk\bftKwVszIImGzr","4.096"
"cpuz162","cpuz162","cpuz162","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","24.576","0","11-11-2025 10:04:35","\??\C:\ProgramData\CPUID Software\sdk\01Chn0Ay0aTHk","4.096"
"CSC","Offline Files Driver","Offline Files Driver","Kernel ","System","Running","OK","TRUE","FALSE","307.200","204.800","0","","C:\WINDOWS\system32\drivers\csc.sys","8.192"
"dam","Desktop Activity Moderator Driver","Desktop Activity Moderator Driver","Kernel ","System","Stopped","OK","FALSE","FALSE","36.864","20.480","0","","C:\WINDOWS\system32\drivers\dam.sys","8.192"
"devmap","Usermode Device Mapper-service","Usermode Device Mapper-service","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4.096","16.384","0","","C:\WINDOWS\system32\DriverStore\FileRepository\devmap.inf_amd64_880513e6f03c45ef\devmap.sys","4.096"
"Dfsc","DFS Namespace Client Driver","DFS Namespace Client Driver","File System ","System","Running","OK","TRUE","FALSE","106.496","28.672","0","","C:\WINDOWS\system32\Drivers\dfsc.sys","4.096"
"dg_ssudbus","SAMSUNG Mobile USB Composite Device Driver (DEVGURU Ver.)","SAMSUNG Mobile USB Composite Device Driver (DEVGURU Ver.)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","131.072","0","23-9-2024 10:31:56","C:\WINDOWS\system32\DRIVERS\ssudbus2.sys","4.096"
"disk","Stuurprogramma voor schijfstations","Stuurprogramma voor schijfstations","Kernel ","Boot","Running","OK","TRUE","FALSE","40.960","32.768","0","","C:\WINDOWS\system32\drivers\disk.sys","4.096"
"DisplayMux","Microsoft DisplayMux","Microsoft DisplayMux","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4.096","16.384","0","","C:\WINDOWS\system32\DriverStore\FileRepository\displaymux.inf_amd64_da65a70f0c3ce0f3\DisplayMux.sys","4.096"
"dmvsc","dmvsc","dmvsc","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8.192","32.768","0","","C:\WINDOWS\system32\drivers\dmvsc.sys","4.096"
"drmkaud","Vertrouwde Microsoft-audiostuurprogramma's","Vertrouwde Microsoft-audiostuurprogramma's","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","4.096","0","","C:\WINDOWS\system32\drivers\drmkaud.sys","4.096"
"DXGKrnl","LDDM Graphics Subsystem","LDDM Graphics Subsystem","Kernel ","Boot","Running","OK","TRUE","FALSE","2.822.144","667.648","0","","C:\WINDOWS\system32\drivers\dxgkrnl.sys","8.192"
"ebdrv","QLogic 10 Gigabit Ethernet-adapter VBD","QLogic 10 Gigabit Ethernet-adapter VBD","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4.096","1.175.552","0","15-11-2020 11:12:10","C:\WINDOWS\system32\drivers\evbda.sys","4.096"
"ebdrv0","QLogic Legacy Ethernet-adapter VBD","QLogic Legacy Ethernet-adapter VBD","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4.096","1.163.264","0","7-11-2020 11:07:41","C:\WINDOWS\system32\drivers\evbd0a.sys","4.096"
"EhStorClass","Enhanced Storage Filter Driver","Enhanced Storage Filter Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","24.576","73.728","0","","C:\WINDOWS\system32\drivers\EhStorClass.sys","4.096"
"EhStorTcgDrv","Microsoft-stuurprogramma voor opslagapparaten met ondersteuning voor IEEE 1667- en TCG-protocollen","Microsoft-stuurprogramma voor opslagapparaten met ondersteuning voor IEEE 1667- en TCG-protocollen","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8.192","81.920","0","","C:\WINDOWS\system32\drivers\EhStorTcgDrv.sys","4.096"
"ErrDev","Microsoft Hardware Error Device Driver","Microsoft Hardware Error Device Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4.096","12.288","0","","C:\WINDOWS\system32\drivers\errdev.sys","4.096"
"ExecutionContext","CPU Scheduler for High Performance I/O","CPU Scheduler for High Performance I/O","Kernel ","Manual","Running","OK","TRUE","FALSE","20.480","49.152","0","","C:\WINDOWS\system32\Drivers\ExecutionContext.sys","4.096"
"exfat","exFAT File System Driver","exFAT File System Driver","File System ","Manual","Stopped","OK","FALSE","FALSE","233.472","90.112","0","","C:\WINDOWS\system32\drivers\exfat.sys","4.096"
"fastfat","FAT12/16/32 File System Driver","FAT12/16/32 File System Driver","File System ","Manual","Running","OK","TRUE","FALSE","266.240","61.440","0","","C:\WINDOWS\system32\drivers\fastfat.sys","4.096"
"fdc","Stuurprogramma voor diskettestationcontroller","Stuurprogramma voor diskettestationcontroller","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4.096","28.672","0","","C:\WINDOWS\system32\drivers\fdc.sys","4.096"
"FileCrypt","FileCrypt","FileCrypt","File System ","System","Running","OK","TRUE","FALSE","28.672","20.480","0","","C:\WINDOWS\system32\drivers\filecrypt.sys","4.096"
