"LogName","TimeCreated","ProviderName","Id","Level","RecordId","Message"
"System","2-7-2026 19:48:00","Microsoft-Windows-Kernel-General","12","Informatie","80036","Het besturingssysteem is gestart op systeemtijd ‎2026‎-‎07‎-‎02T17:47:59.500000000Z."
"System","2-7-2026 19:48:00","Microsoft-Windows-Kernel-General","25","Informatie","80037","De systeemtijd is geïnitialiseerd voor ‎2026‎-‎07‎-‎02T17:47:59.500000000Z. 

Laadprogrammatijd: ‎2026‎-‎07‎-‎02T17:47:59.000000000Z
Interne opstartvlaggen: 0x2
HAL RTC-foutcode: 0x0
RTC-tijd is utc: false
Soft boot: false
Success: true
Phase: 0"
"System","2-7-2026 19:48:00","Microsoft-Windows-Kernel-Boot","153","Informatie","80038","Beveiliging op basis van virtualisatie (beleid: 0) is disabled."
"System","2-7-2026 19:48:00","Microsoft-Windows-Kernel-Boot","29","Fout","80039","Windows kan niet snel worden opgestart met de foutstatus 0xC00000D4."
"System","2-7-2026 19:48:00","Microsoft-Windows-Kernel-Boot","18","Informatie","80040","Er zijn 0x1 opstartopties op dit systeem."
"System","2-7-2026 19:48:00","Microsoft-Windows-Kernel-Boot","32","Informatie","80041","Bootmgr heeft 0 ms gewacht op gebruikersinvoer."
"System","2-7-2026 19:48:00","Microsoft-Windows-Kernel-Boot","18","Informatie","80042","Er zijn 0x1 opstartopties op dit systeem."
"System","2-7-2026 19:48:00","Microsoft-Windows-Kernel-Boot","32","Informatie","80043","Bootmgr heeft 0 ms gewacht op gebruikersinvoer."
"System","2-7-2026 19:48:00","Microsoft-Windows-Kernel-Boot","20","Informatie","80044","De laatste status van een geslaagde afsluitactie is true. De laatste status van een geslaagde opstartactie is true."
"System","2-7-2026 19:48:00","Microsoft-Windows-Kernel-Boot","247","Informatie","80045","Kan Pluton-Windows firmware niet laden. StatusCode: STATUS_SUCCESS, Reden: Failed to apply firmware."
"System","2-7-2026 19:48:00","Microsoft-Windows-Kernel-Boot","238","Informatie","80046","EFI-afwijking voor tijdzone: 2047. Daglicht-vlaggen: 0. Tijd van firmware: ‎2026‎-‎07‎-‎02T19:47:59.000000000Z. "
"System","2-7-2026 19:48:00","Microsoft-Windows-Kernel-Boot","25","Informatie","80047","Het opstartmenubeleid was 0x1."
"System","2-7-2026 19:48:00","Microsoft-Windows-Kernel-Boot","27","Informatie","80048","Het opstarttype was 0x0."
"System","2-7-2026 19:48:00","Microsoft-Windows-Kernel-Boot","30","Informatie","80049","Door de firmware zijn opstartmetingen gemeld."
"System","2-7-2026 19:48:00","Microsoft-Windows-Kernel-General","20","Informatie","80050","De configuratie van de schrikkelseconde is bijgewerkt.
Reden: Leap second data initialized from registry during boot
Schrikkelseconden ingeschakeld: true
Nieuw aantal schrikkelseconden: 0
Oud aantal schrikkelseconden: 0"
"System","2-7-2026 19:48:02","Microsoft-Windows-Ntfs","98","Informatie","80058","Volume C: (\Device\HarddiskVolume6) is in orde. U hoeft geen actie te ondernemen."
